month,city_id,trip_count,repeat_passenger_count
2024-01-01,AP01,10-Trips,7
2024-01-01,AP01,2-Trips,352
2024-01-01,AP01,3-Trips,158
2024-01-01,AP01,4-Trips,53
2024-01-01,AP01,5-Trips,38
2024-01-01,AP01,6-Trips,14
2024-01-01,AP01,7-Trips,10
2024-01-01,AP01,8-Trips,11
2024-01-01,AP01,9-Trips,7
2024-01-01,CH01,10-Trips,14
2024-01-01,CH01,2-Trips,196
2024-01-01,CH01,3-Trips,182
2024-01-01,CH01,4-Trips,87
2024-01-01,CH01,5-Trips,119
2024-01-01,CH01,6-Trips,44
2024-01-01,CH01,7-Trips,33
2024-01-01,CH01,8-Trips,31
2024-01-01,CH01,9-Trips,14
2024-01-01,GJ01,10-Trips,27
2024-01-01,GJ01,2-Trips,91
2024-01-01,GJ01,3-Trips,161
2024-01-01,GJ01,4-Trips,181
2024-01-01,GJ01,5-Trips,366
2024-01-01,GJ01,6-Trips,172
2024-01-01,GJ01,7-Trips,107
2024-01-01,GJ01,8-Trips,55
2024-01-01,GJ01,9-Trips,24
2024-01-01,GJ02,10-Trips,8
2024-01-01,GJ02,2-Trips,41
2024-01-01,GJ02,3-Trips,97
2024-01-01,GJ02,4-Trips,94
2024-01-01,GJ02,5-Trips,109
2024-01-01,GJ02,6-Trips,98
2024-01-01,GJ02,7-Trips,64
2024-01-01,GJ02,8-Trips,21
2024-01-01,GJ02,9-Trips,12
2024-01-01,KA01,10-Trips,1
2024-01-01,KA01,2-Trips,75
2024-01-01,KA01,3-Trips,54
2024-01-01,KA01,4-Trips,22
2024-01-01,KA01,5-Trips,10
2024-01-01,KA01,6-Trips,5
2024-01-01,KA01,7-Trips,2
2024-01-01,KA01,8-Trips,3
2024-01-01,KA01,9-Trips,0
2024-01-01,KL01,10-Trips,6
2024-01-01,KL01,2-Trips,410
2024-01-01,KL01,3-Trips,188
2024-01-01,KL01,4-Trips,58
2024-01-01,KL01,5-Trips,62
2024-01-01,KL01,6-Trips,33
2024-01-01,KL01,7-Trips,17
2024-01-01,KL01,8-Trips,13
2024-01-01,KL01,9-Trips,8
2024-01-01,MP01,10-Trips,13
2024-01-01,MP01,2-Trips,399
2024-01-01,MP01,3-Trips,194
2024-01-01,MP01,4-Trips,120
2024-01-01,MP01,5-Trips,120
2024-01-01,MP01,6-Trips,79
2024-01-01,MP01,7-Trips,54
2024-01-01,MP01,8-Trips,34
2024-01-01,MP01,9-Trips,20
2024-01-01,RJ01,10-Trips,13
2024-01-01,RJ01,2-Trips,705
2024-01-01,RJ01,3-Trips,278
2024-01-01,RJ01,4-Trips,194
2024-01-01,RJ01,5-Trips,118
2024-01-01,RJ01,6-Trips,35
2024-01-01,RJ01,7-Trips,43
2024-01-01,RJ01,8-Trips,22
2024-01-01,RJ01,9-Trips,14
2024-01-01,TN01,10-Trips,1
2024-01-01,TN01,2-Trips,49
2024-01-01,TN01,3-Trips,69
2024-01-01,TN01,4-Trips,64
2024-01-01,TN01,5-Trips,97
2024-01-01,TN01,6-Trips,54
2024-01-01,TN01,7-Trips,25
2024-01-01,TN01,8-Trips,23
2024-01-01,TN01,9-Trips,10
2024-01-01,UP01,10-Trips,14
2024-01-01,UP01,2-Trips,77
2024-01-01,UP01,3-Trips,202
2024-01-01,UP01,4-Trips,201
2024-01-01,UP01,5-Trips,352
2024-01-01,UP01,6-Trips,325
2024-01-01,UP01,7-Trips,137
2024-01-01,UP01,8-Trips,87
2024-01-01,UP01,9-Trips,36
2024-02-01,AP01,10-Trips,4
2024-02-01,AP01,2-Trips,433
2024-02-01,AP01,3-Trips,145
2024-02-01,AP01,4-Trips,94
2024-02-01,AP01,5-Trips,48
2024-02-01,AP01,6-Trips,34
2024-02-01,AP01,7-Trips,11
2024-02-01,AP01,8-Trips,14
2024-02-01,AP01,9-Trips,7
2024-02-01,CH01,10-Trips,13
2024-02-01,CH01,2-Trips,296
2024-02-01,CH01,3-Trips,147
2024-02-01,CH01,4-Trips,140
2024-02-01,CH01,5-Trips,127
2024-02-01,CH01,6-Trips,48
2024-02-01,CH01,7-Trips,36
2024-02-01,CH01,8-Trips,29
2024-02-01,CH01,9-Trips,17
2024-02-01,GJ01,10-Trips,16
2024-02-01,GJ01,2-Trips,87
2024-02-01,GJ01,3-Trips,148
2024-02-01,GJ01,4-Trips,284
2024-02-01,GJ01,5-Trips,197
2024-02-01,GJ01,6-Trips,307
2024-02-01,GJ01,7-Trips,140
2024-02-01,GJ01,8-Trips,112
2024-02-01,GJ01,9-Trips,22
2024-02-01,GJ02,10-Trips,8
2024-02-01,GJ02,2-Trips,83
