month,city_id,new_passengers,repeat_passengers,total_passengers
2024-01-01,AP01,2513,650,3163
2024-01-01,CH01,3920,720,4640
2024-01-01,GJ01,2432,1184,3616
2024-01-01,GJ02,2089,544,2633
2024-01-01,KA01,1957,172,2129
2024-01-01,KL01,4865,795,5660
2024-01-01,MP01,2843,1033,3876
2024-01-01,RJ01,10423,1422,11845
2024-01-01,TN01,1822,392,2214
2024-01-01,UP01,3465,1431,4896
2024-02-01,AP01,2380,790,3170
2024-02-01,CH01,4104,853,4957
2024-02-01,GJ01,2254,1313,3567
2024-02-01,GJ02,2146,610,2756
2024-02-01,KA01,2107,183,2290
2024-02-01,KL01,4367,1005,5372
2024-02-01,MP01,2878,1103,3981
2024-02-01,RJ01,10789,1661,12450
2024-02-01,TN01,1647,346,1993
2024-02-01,UP01,3529,1659,5188
2024-03-01,AP01,2170,923,3093
2024-03-01,CH01,3228,872,4100
2024-03-01,GJ01,1946,1494,3440
2024-03-01,GJ02,1763,759,2522
2024-03-01,KA01,1986,208,2194
2024-03-01,KL01,4865,1348,6213
2024-03-01,MP01,2742,1091,3833
2024-03-01,RJ01,7417,1840,9257
2024-03-01,TN01,1538,427,1965
2024-03-01,UP01,3159,1622,4781
2024-04-01,AP01,1845,992,2837
2024-04-01,CH01,2496,789,3285
2024-04-01,GJ01,1843,1551,3394
2024-04-01,GJ02,1637,862,2499
2024-04-01,KA01,1836,236,2072
2024-04-01,KL01,4939,1576,6515
2024-04-01,MP01,2351,1295,3646
2024-04-01,RJ01,6120,1736,7856
2024-04-01,TN01,1242,480,1722
2024-04-01,UP01,2311,1496,3807
2024-05-01,AP01,1939,951,2890
2024-05-01,CH01,2730,969,3699
2024-05-01,GJ01,1611,1606,3217
2024-05-01,GJ02,1388,868,2256
2024-05-01,KA01,1921,349,2270
2024-05-01,KL01,4369,1853,6222
2024-05-01,MP01,2028,1563,3591
2024-05-01,RJ01,5332,1842,7174
2024-05-01,TN01,1039,504,1543
2024-05-01,UP01,1825,1662,3487
2024-06-01,AP01,1900,802,2702
2024-06-01,CH01,2430,867,3297
2024-06-01,GJ01,1540,1490,3030
2024-06-01,GJ02,1104,703,1807
2024-06-01,KA01,1874,329,2203
2024-06-01,KL01,3011,1049,4060
2024-06-01,MP01,2021,1131,3152
2024-06-01,RJ01,5775,1181,6956
2024-06-01,TN01,1226,402,1628
2024-06-01,UP01,1971,1727,3698
