month,city_id,target_new_passengers
2024-05-01,GJ01,1500
2024-05-01,GJ02,1500
2024-03-01,GJ01,2000
2024-05-01,UP01,2000
2024-05-01,MP01,2000
2024-01-01,AP01,2500
2024-03-01,MP01,2700
2024-06-01,CH01,3000
2024-04-01,AP01,2000
2024-01-01,KA01,2000
2024-03-01,UP01,3200
2024-02-01,AP01,2500
2024-04-01,GJ02,1500
2024-02-01,TN01,1500
2024-01-01,MP01,2700
2024-03-01,TN01,1500
2024-05-01,KA01,2000
2024-05-01,TN01,1000
2024-02-01,GJ01,2000
2024-04-01,CH01,3000
2024-01-01,GJ02,1800
2024-04-01,MP01,2000
2024-06-01,TN01,1000
2024-04-01,KL01,4000
2024-06-01,MP01,2000
2024-03-01,CH01,4000
2024-01-01,RJ01,12000
2024-05-01,RJ01,6000
2024-02-01,MP01,2700
2024-02-01,KA01,2000
2024-04-01,TN01,1000
2024-02-01,UP01,3200
2024-04-01,KA01,2000
2024-03-01,AP01,2500
2024-02-01,GJ02,1800
2024-06-01,UP01,2000
2024-01-01,TN01,1500
2024-03-01,KA01,2000
2024-06-01,KL01,4000
2024-02-01,RJ01,12000
2024-05-01,CH01,3000
2024-04-01,RJ01,6000
2024-01-01,KL01,5000
2024-04-01,GJ01,1500
2024-01-01,GJ01,2000
2024-06-01,GJ01,1500
2024-03-01,KL01,5000
2024-06-01,RJ01,6000
2024-04-01,UP01,2000
2024-06-01,GJ02,1500
2024-05-01,KL01,4000
2024-02-01,CH01,4000
2024-01-01,CH01,4000
2024-03-01,GJ02,1800
2024-01-01,UP01,3200
2024-06-01,KA01,2000
2024-03-01,RJ01,12000
2024-05-01,AP01,2000
2024-06-01,AP01,2000
2024-02-01,KL01,5000
